ID,Categoría,Nombre,Tipo,Ubicación,Contacto,Website_Social,Potencial_Alianza,Público_Target,Estrategia_Acercamiento,Prioridad,Estado,Observaciones,Fecha_Actualización
1,Gimnasio,Smart Fit,Cadena grande,10 sedes Asunción,(021) xxx-xxx,smartfit.com.py,Alto,Deportistas amateur,Ofrecer charla gratuita lesiones,Alta,Pendiente,Cadena internacional - potencial 10K+ miembros,18/01/2026
2,Gimnasio,Exen Gym,CrossFit/Funcional,5 sedes Asunción,(021) xxx-xxx,Instagram @exengym,Alto,CrossFit - lesiones frecuentes,Sponsor competencia local,Alta,Pendiente,Público exigente - buen poder adquisitivo,18/01/2026
3,Gimnasio,Golden Gym,Tradicional,3 sedes,(021) xxx-xxx,goldengym.com.py,Medio,Bodybuilding,Ofrecer evaluaciones gratis,Media,Pendiente,Público más veterano,18/01/2026
4,Gimnasio,Catapumba Fit,Funcional,1 sede - nueva,,(021) xxx-xxx,Instagram @catapumbafit,Medio,Jóvenes funcional,Alianza desde apertura,Media,Pendiente,Apertura reciente 2024,18/01/2026
5,Gimnasio,Club Olimpia,Fútbol,Complejo Sajonia,(021) xxx-xxx,olimpia.com.py,Alto,Futbolistas profesionales,Contacto directo médico club,Alta,Pendiente,Club más grande Paraguay,18/01/2026
6,Gimnasio,Club Cerro Porteño,Fútbol,Complejo,,(021) xxx-xxx,cerrodetective.com.py,Alto,Futbolistas profesionales,Contacto directo médico club,Alta,Pendiente,Segundo club más grande,18/01/2026
7,Médico,Traumatólogos Villa Morra,Red médicos,Villa Morra,Varios,Doctoralia,Alto,Pacientes post-cirugía,Visita consultorio + tarjetas,Alta,Pendiente,Buscar en Doctoralia,18/01/2026
8,Médico,Neurólogos INCAN,Especialistas,Hospital,,(021) xxx-xxx,incan.gov.py,Medio,Pacientes ACV,Contacto formal hospital,Media,Pendiente,Instituto Nacional,18/01/2026
9,Médico,Médicos Deportivos,Red,Varios,Varios,AKYFPY,Alto,Deportistas lesionados,Networking AKYFPY,Alta,Pendiente,Contactos clave,18/01/2026
10,Alianza,Mutuales (AMED IPS etc),Seguros,Varios,Varios,Websites,Alto,Pacientes asegurados,Registro como prestador,Alta,Pendiente,Amplía mercado 300%,18/01/2026
11,Alianza,Farmacias (Catedral etc),Cadenas,Varios,Varios,Websites,Medio,Pacientes comprando medicamentos,Dejar flyers + tarjetas,Media,Pendiente,Tráfico alto,18/01/2026
12,Alianza,Ortopedias,Locales especializados,Varios,Varios,Google Maps,Medio,Personas comprando muletas/férulas,Dejar tarjetas,Media,Pendiente,Público ya lesionado,18/01/2026
13,Digital,Google My Business,Plataforma,Online,N/A,google.com/business,Muy Alto,Búsqueda local fisioterapeuta,Crear perfil optimizado SEO,Muy Alta,Pendiente,GRATIS - esencial,18/01/2026
14,Digital,Instagram Business,Red social,Online,N/A,instagram.com,Alto,Jóvenes 20-40 años,Contenido educativo 3x semana,Alta,Pendiente,Ads Gs. 300K/mes,18/01/2026
15,Digital,Facebook Page,Red social,Online,N/A,facebook.com,Alto,Adultos 30-60 años,Grupos locales Asunción,Alta,Pendiente,Ads Gs. 300K/mes,18/01/2026
16,Digital,TikTok,Red social,Online,N/A,tiktok.com,Medio,Muy jóvenes 18-30,Videos educativos cortos,Media,Pendiente,Opcional - viralidad potencial,18/01/2026
17,Gimnasio,Yoga Studios,Estudios boutique,Varios Villa Morra,Varios,Instagram varios,Medio,Lesiones yoga - hombro,Alianza cruzada,Media,Pendiente,Público alto poder adquisitivo,18/01/2026
18,Gimnasio,Running Clubs,Grupos corredores,Varios parques,Varios,Instagram @runningpy,Alto,Corredores - rodilla/tobillo,Sponsor carrera + stand,Alta,Pendiente,Comunidad activa,18/01/2026
19,Médico,Clínicas Estéticas,Cirugía plástica,Villa Morra,Varios,Google Maps,Bajo,Post-lipo drenaje linfático,Contacto directo,Baja,Pendiente,Nicho específico,18/01/2026
20,Alianza,Empresas Grandes,RRHH,Varios,RRHH,LinkedIn,Alto,Oficinistas dolor postural,Ofrecer charla empresarial,Alta,Pendiente,Contratos corporativos potenciales,18/01/2026
