ID,Nombre,Dirección,Zona,Teléfono,Website,Email,Especialidad,Precio Evaluación,Precio Sesión,Precio Paquete 10,Acepta Seguros,Horario,Rating Google,Reviews,Observaciones,Fecha Investigación,Estado
1,Fisiocenter,Av. Perú 568,Centro,(021) 204-600,fisiocenter.com.py,,Deportivo/ATM,200000,170000,,Sí,7AM-7PM,4.5,50+,AKYFPY compliant,18/01/2026,Verificado
2,CEMEFIR,Av. Venezuela 664,Centro,,cemefir.com.py,,Neurológico,,,,Sí,,4.7,30+,Centro especializado,18/01/2026,Parcial
3,Kinesio Gold,Barrio Mburucuyá,Mburucuyá,,Facebook,,Técnicas avanzadas,,,,,,4.3,15,Presencia solo FB,18/01/2026,Parcial
4,Sanatorio Británico CERF,Av. Félix Bogado,Centro,,britanico.com.py,,Rehabilitación,,,,Sí,,4.8,100+,Hospital respaldo,18/01/2026,Parcial
5,Clínica Boquerón (IPS),,Centro,,,,IPS,,,,Sí,,,,Público IPS,18/01/2026,Parcial
6,Kinetics Centro,,,,,,,,,,,,,,,18/01/2026,Pendiente
7,Clínica Dr. T,,,,,,,,,,,,,,,18/01/2026,Pendiente
8,Gimnasio New Life,,,,,,,,,,,,,,,18/01/2026,Pendiente
9,Zander Centro Integral,,,,,,,,,,,,,,,18/01/2026,Pendiente
10,,,,,,,,,,,,,,,Mystery shopping,Pendiente
11,,,,,,,,,,,,,,,Mystery shopping,Pendiente
12,,,,,,,,,,,,,,,Mystery shopping,Pendiente
13,,,,,,,,,,,,,,,Mystery shopping,Pendiente
14,,,,,,,,,,,,,,,Mystery shopping,Pendiente
15,,,,,,,,,,,,,,,Mystery shopping,Pendiente
